j,strategy,delta,se,p_up,p_down,n1
44,minervini_volume_dryup,-0.3714067157602358,0.20474250402070723,0.9651625708587428,0.03483742914125725,2622
45,minervini_volume_dryup,0.23358342533095994,0.2193602836031229,0.14347435499417685,0.8565256450058232,2625
46,minervini_volume_dryup,-0.3680273357823902,0.21132582604799524,0.9592034262328344,0.04079657376716555,2627
47,minervini_volume_dryup,-0.02436788863559884,0.20135411953405868,0.5481624287877993,0.4518375712122007,2626
48,minervini_volume_dryup,-0.024130131586729053,0.19419921013543087,0.5494431259981145,0.45055687400188554,2627
49,minervini_volume_dryup,0.127376363157638,0.20497619746560578,0.2671615706152982,0.7328384293847018,2626
50,minervini_volume_dryup,-0.32401275092730836,0.19639374451160585,0.9505093003173144,0.04949069968268567,2631
51,minervini_volume_dryup,-0.07220572769216901,0.22117209586120018,0.6279650499768931,0.37203495002310694,2628
52,minervini_volume_dryup,-0.05302578073388672,0.217330266086348,0.5963795934927247,0.40362040650727526,2628
53,minervini_volume_dryup,-0.16725454060855227,0.22949637571629597,0.7669347712351051,0.23306522876489477,2626
54,minervini_volume_dryup,0.02573629579884991,0.21849754709260408,0.45311798811729803,0.546882011882702,2633
55,minervini_volume_dryup,0.34766505789620655,0.22357679524862484,0.05997136157696817,0.9400286384230317,2631
56,minervini_volume_dryup,0.05741839508732256,0.25484252368880267,0.41086932584046437,0.5891306741595356,2629
57,minervini_volume_dryup,-0.10442267153671136,0.21181014649061133,0.6889941555394011,0.31100584446059887,2625
58,minervini_volume_dryup,0.018598698249988235,0.2068909542159274,0.4641848741589833,0.5358151258410168,2625
59,minervini_volume_dryup,0.0543414887105773,0.2139352037122815,0.3997442636349586,0.6002557363650414,2630
60,minervini_volume_dryup,0.05635175517206652,0.2094281005142205,0.3939361880283842,0.6060638119716159,2624
61,minervini_volume_dryup,0.10538775505015095,0.2297343026958064,0.3232113166958761,0.6767886833041239,2622
62,minervini_volume_dryup,0.12835047589733795,0.22980095656071936,0.2882416372339762,0.7117583627660238,2629
63,minervini_volume_dryup,-0.005720549322943386,0.21028553387719567,0.5108513766854629,0.48914862331453707,2626
64,minervini_volume_dryup,-0.14209275123665882,0.2071192243657944,0.7536570904845623,0.2463429095154376,2629
65,minervini_volume_dryup,-0.29265575674545535,0.21833253334469177,0.9099444372979,0.09005556270209997,2627
66,minervini_volume_dryup,-0.1426528932214956,0.22542678944815733,0.73657195791537,0.26342804208462994,2625
67,minervini_volume_dryup,-0.13331799215129383,0.21384829276351586,0.7334967798255949,0.2665032201744051,2626
68,minervini_volume_dryup,-0.0922069319352673,0.24520124886282532,0.6465586251440005,0.35344137485599947,2624
69,minervini_volume_dryup,0.38697500173191685,0.22568490863654464,0.043202930526708774,0.9567970694732912,2622
70,minervini_volume_dryup,-0.1724390803204095,0.21605877922821343,0.7875972184903655,0.21240278150963463,2630
71,minervini_volume_dryup,-0.14935601310627605,0.22403915731801952,0.7475025787140683,0.25249742128593167,2626
72,minervini_volume_dryup,-0.0906857235484039,0.21981197989620024,0.660035648886315,0.33996435111368495,2624
73,minervini_volume_dryup,0.5778746917055065,0.1955264583343888,0.00156091068271068,0.9984390893172893,2624
74,minervini_volume_dryup,-0.03708625874501299,0.20717849172946284,0.5710336291783952,0.4289663708216048,2631
75,minervini_volume_dryup,-0.43565461600722905,0.2013987774111399,0.9847349583611374,0.015265041638862532,2627
76,minervini_volume_dryup,-0.1801597714975852,0.20259380877217045,0.8130699110201279,0.18693008897987207,2627
77,minervini_volume_dryup,0.0028491192168825646,0.2726048107676273,0.4958305452436882,0.5041694547563118,2629
78,minervini_volume_dryup,-0.11230753828182415,0.24067816971855907,0.679617517736202,0.32038248226379795,2625
79,minervini_volume_dryup,0.23844476582170132,0.2198910525637732,0.13909887298675397,0.8609011270132461,2632
80,minervini_volume_dryup,-0.2228675838576315,0.21369244093664908,0.8515110804814685,0.14848891951853146,2626
81,minervini_volume_dryup,-0.22494337823366833,0.21927724262086754,0.8475165084670524,0.15248349153294766,2628
82,minervini_volume_dryup,0.04071383748569836,0.2073345552639464,0.42216113551153933,0.5778388644884607,2632
83,minervini_volume_dryup,0.036775309762038064,0.20560972800155375,0.42902390400470947,0.5709760959952905,2630
84,minervini_volume_dryup,0.08580013121768328,0.21156813495308813,0.34253893946121544,0.6574610605387845,2625
85,minervini_volume_dryup,-0.10584163843390051,0.2016909287239932,0.7001289549840214,0.2998710450159786,2625
86,minervini_volume_dryup,-0.18888600381917336,0.22225547137804083,0.8022984977921764,0.19770150220782362,2629
87,minervini_volume_dryup,-0.0038906048249086195,0.229913311144685,0.5067505995180958,0.49324940048190424,2627
88,minervini_volume_dryup,-0.3167114522003921,0.19734414686843627,0.945738652792586,0.05426134720741409,2630
89,minervini_volume_dryup,0.21791475185458153,0.47474401988863846,0.32311160226279945,0.6768883977372006,2631
90,minervini_volume_dryup,0.11922803857498317,0.2361637286221558,0.3068309370289373,0.6931690629710627,2630
91,minervini_volume_dryup,-0.08783702790897244,0.20603093208063425,0.6650660532773689,0.3349339467226311,2621
92,minervini_volume_dryup,-0.2030347981396256,0.2300809640260919,0.8112330719044023,0.18876692809559767,2624
93,minervini_volume_dryup,-0.5620380731099985,0.21486012580753283,0.9955494878453088,0.004450512154691105,2628
94,minervini_volume_dryup,0.027746113578182754,0.2056021521027361,0.446325505066302,0.553674494933698,2625
95,minervini_volume_dryup,-0.0725758752371664,0.217440542542956,0.6307247319188647,0.36927526808113537,2623
96,minervini_volume_dryup,-0.01837246758613012,0.18952980337197517,0.5386118229893705,0.46138817701062945,2631
97,minervini_volume_dryup,0.13559029274245693,0.22286818530198205,0.2714651389180519,0.7285348610819481,2629
98,minervini_volume_dryup,-0.04519770357302401,0.2149340835720659,0.5832779052438355,0.4167220947561645,2631
99,minervini_volume_dryup,0.12266829218208446,0.476601360004623,0.3984422067994744,0.6015577932005256,2630
0,daytrading_3methods_breakout,0.03535478726397501,0.08072899257691044,0.33071339739982303,0.6692866026001769,13181
1,daytrading_3methods_breakout,0.03312583767218852,0.0809282126179914,0.3411510523897995,0.6588489476102005,13172
2,daytrading_3methods_breakout,-0.07638074608154405,0.07773719513061536,0.8370857243294796,0.16291427567052044,13179
3,daytrading_3methods_breakout,-0.13378826417745543,0.07945416627261073,0.9538938984188158,0.046106101581184195,13182
4,daytrading_3methods_breakout,0.054547026598397774,0.08005291441257675,0.24781327817966162,0.7521867218203384,13185
5,daytrading_3methods_breakout,-0.03947661917190981,0.08044818240753196,0.6881837369970835,0.31181626300291654,13180
6,daytrading_3methods_breakout,-0.002746249160599734,0.078300764752955,0.5139892672633422,0.48601073273665785,13189
7,daytrading_3methods_breakout,-0.049553541069389306,0.07846985082711166,0.7361424684733349,0.26385753152666513,13179
8,daytrading_3methods_breakout,-0.08364151362013167,0.08593353545712808,0.8348048372538326,0.16519516274616747,13193
9,daytrading_3methods_breakout,-0.05391498312074855,0.080159453662152,0.7493980456218879,0.25060195437811206,13189
10,daytrading_3methods_breakout,-0.03209585216635247,0.08190493094327518,0.6524218132770315,0.3475781867229685,13184
11,daytrading_3methods_breakout,0.04093363466300737,0.0782773991390076,0.30051133080006026,0.6994886691999398,13180
12,daytrading_3methods_breakout,0.023939468431920963,0.08199595058994519,0.38515892686889075,0.6148410731311093,13183
13,daytrading_3methods_breakout,0.03264176147593012,0.07733837211586388,0.3364890632504459,0.6635109367495541,13177
14,daytrading_3methods_breakout,-0.0363720340872678,0.0785813149527877,0.6782671226883099,0.32173287731169015,13181
15,daytrading_3methods_breakout,0.002830200498690927,0.07759426309413299,0.4854520644464901,0.51454793555351,13189
16,daytrading_3methods_breakout,-0.06086018042022173,0.08092538432608334,0.7739904153924917,0.22600958460750842,13180
