board,rep,strategy,n_lots,n_open_excl,mean_net_pct,win_rate,net_won_mean,n_replaced,n_dropped,dup_pi,dup_real
main,148,book_pullback_ma20,17918,98,-0.248825,0.39837,-2468,8026,0,1006,8175
main,149,book_pullback_ma20,17903,113,-0.347289,0.403396,-3412,8015,0,987,8145
main,150,book_pullback_ma20,17919,97,-0.208543,0.402868,-2070,8258,0,973,8385
main,151,book_pullback_ma20,17922,94,-0.229977,0.400402,-2256,8235,0,970,8366
main,152,book_pullback_ma20,17895,121,-0.266437,0.401285,-2618,8060,0,958,8176
main,153,book_pullback_ma20,17904,112,-0.12029,0.403318,-1190,8188,0,987,8310
main,154,book_pullback_ma20,17903,113,-0.022819,0.403787,-214,8382,0,968,8489
main,155,book_pullback_ma20,17896,120,-0.223912,0.403386,-2189,8261,0,986,8389
main,156,book_pullback_ma20,17894,122,-0.113365,0.403543,-1097,8350,0,973,8468
main,157,book_pullback_ma20,17907,109,-0.18489,0.403753,-1827,8186,0,976,8327
main,158,book_pullback_ma20,17881,135,0.319683,0.40557,3222,8207,0,980,8326
main,159,book_pullback_ma20,17901,115,-0.242291,0.405117,-2399,7909,0,977,8043
main,160,book_pullback_ma20,17896,120,-0.143501,0.404504,-1397,8159,0,959,8253
main,161,book_pullback_ma20,17898,118,-0.163086,0.405576,-1619,8206,0,969,8313
main,162,book_pullback_ma20,17899,117,-0.058114,0.406783,-553,8115,0,985,8238
main,163,book_pullback_ma20,17910,106,-0.133861,0.407594,-1310,8315,0,965,8420
main,164,book_pullback_ma20,17911,105,0.159964,0.403551,1622,8382,0,965,8474
main,165,book_pullback_ma20,17898,118,-0.237514,0.405073,-2336,8196,0,957,8292
main,166,book_pullback_ma20,17919,97,-0.275841,0.398181,-2700,8130,0,992,8264
main,167,book_pullback_ma20,17901,115,-0.178019,0.405955,-1743,8412,0,956,8557
main,168,book_pullback_ma20,17907,109,-0.231564,0.399062,-2256,8230,0,981,8349
main,169,book_pullback_ma20,17909,107,-0.229704,0.403819,-2284,8285,0,964,8403
main,170,book_pullback_ma20,17913,103,-0.096285,0.405013,-901,8407,0,982,8518
main,171,book_pullback_ma20,17903,113,0.011726,0.40429,162,8282,0,972,8423
main,172,book_pullback_ma20,17899,117,-0.213286,0.39857,-2097,8334,0,944,8446
main,173,book_pullback_ma20,17918,98,-0.108854,0.405681,-1036,8190,0,1003,8326
main,174,book_pullback_ma20,17913,103,0.183017,0.408028,1838,8256,0,989,8356
main,175,book_pullback_ma20,17904,112,-0.32634,0.401419,-3215,8416,0,974,8543
main,176,book_pullback_ma20,17888,128,-0.040596,0.404461,-373,7994,0,1022,8149
main,177,book_pullback_ma20,17902,114,-0.209967,0.404312,-2087,8399,0,984,8515
main,178,book_pullback_ma20,17912,104,-0.156942,0.406264,-1577,8161,0,999,8279
main,179,book_pullback_ma20,17910,106,0.273947,0.407705,2771,8279,0,993,8386
main,180,book_pullback_ma20,17904,112,-0.308692,0.402368,-3050,8174,0,975,8286
main,181,book_pullback_ma20,17899,117,-0.091591,0.402648,-881,8160,0,982,8313
main,182,book_pullback_ma20,17900,116,-0.086446,0.407709,-851,8208,0,967,8328
main,183,book_pullback_ma20,17906,110,-0.1207,0.407852,-1210,8234,0,980,8310
main,184,book_pullback_ma20,17903,113,-0.209373,0.399821,-2036,8061,0,976,8206
main,185,book_pullback_ma20,17911,105,-0.091882,0.402099,-917,8144,0,977,8229
main,186,book_pullback_ma20,17925,91,-0.026457,0.405746,-230,8036,0,984,8151
main,187,book_pullback_ma20,17898,118,-0.221889,0.4058,-2186,8226,0,977,8327
main,188,book_pullback_ma20,17911,105,-0.161432,0.408185,-1590,8187,0,977,8319
main,189,book_pullback_ma20,17916,100,-0.111929,0.40701,-1101,8352,0,976,8444
main,190,book_pullback_ma20,17904,112,-0.196987,0.403206,-1925,8412,0,955,8510
main,191,book_pullback_ma20,17912,104,-0.154176,0.411177,-1533,8119,0,995,8234
main,192,book_pullback_ma20,17916,100,-0.217537,0.406341,-2158,8154,0,981,8287
main,193,book_pullback_ma20,17920,96,-0.066327,0.410268,-631,8039,0,988,8171
main,194,book_pullback_ma20,17923,93,-0.199138,0.402276,-1974,8016,0,979,8139
main,195,book_pullback_ma20,17880,136,-0.168916,0.406152,-1693,8276,0,989,8382
main,196,book_pullback_ma20,17905,111,-0.080973,0.414409,-784,8238,0,989,8348
main,197,book_pullback_ma20,17900,116,-0.107995,0.414358,-1060,8166,0,974,8286
main,198,book_pullback_ma20,17905,111,-0.122786,0.409718,-1223,8252,0,951,8385
main,199,book_pullback_ma20,17898,118,-0.260604,0.4039,-2600,8096,0,974,8213
main,0,minervini_volume_dryup,8462,44,0.012893,0.431222,155,1777,0,209,1687
main,1,minervini_volume_dryup,8463,43,0.01531,0.431171,51,1950,0,223,1830
main,2,minervini_volume_dryup,8474,32,0.077132,0.431555,511,1574,0,227,1505
main,3,minervini_volume_dryup,8466,40,0.16436,0.436334,1374,1888,0,212,1782
main,4,minervini_volume_dryup,8467,39,-0.006826,0.428959,-539,1765,0,221,1679
main,5,minervini_volume_dryup,8462,44,0.169183,0.435949,1487,1884,0,221,1776
main,6,minervini_volume_dryup,8480,26,-0.190758,0.419458,-1631,1911,0,210,1801
main,7,minervini_volume_dryup,8474,32,0.025788,0.423413,121,2004,0,224,1858
main,8,minervini_volume_dryup,8479,27,0.28187,0.440382,2438,1741,0,222,1639
main,9,minervini_volume_dryup,8478,28,-0.063411,0.422033,-583,1596,0,220,1519
main,10,minervini_volume_dryup,8475,31,0.096879,0.423009,1455,1794,0,203,1705
main,11,minervini_volume_dryup,8469,37,0.061669,0.436769,784,1851,0,200,1743
main,12,minervini_volume_dryup,8462,44,0.559427,0.452494,5314,1861,0,228,1755
main,13,minervini_volume_dryup,8473,33,0.210697,0.437153,2277,1764,0,211,1667
main,14,minervini_volume_dryup,8474,32,0.320613,0.446778,2935,1619,0,223,1543
main,15,minervini_volume_dryup,8470,36,0.190876,0.436246,1779,1905,0,234,1793
main,16,minervini_volume_dryup,8471,35,0.00132,0.42616,-125,1960,0,218,1822
main,17,minervini_volume_dryup,8465,41,-0.231503,0.415357,-2427,1746,0,231,1661
main,18,minervini_volume_dryup,8473,33,0.032079,0.423817,426,1967,0,214,1846
main,19,minervini_volume_dryup,8481,25,0.098705,0.434736,1034,1920,0,222,1824
main,20,minervini_volume_dryup,8464,42,0.001814,0.429584,-140,1737,0,222,1640
main,21,minervini_volume_dryup,8472,34,0.058679,0.431893,529,1679,0,231,1589
main,22,minervini_volume_dryup,8470,36,0.130498,0.434829,1165,1800,0,227,1698
main,23,minervini_volume_dryup,8465,41,0.044027,0.432014,194,1827,0,222,1733
main,24,minervini_volume_dryup,8474,32,0.183985,0.43663,1479,1994,0,206,1864
main,25,minervini_volume_dryup,8481,25,0.446551,0.434265,4228,1784,0,225,1673
main,26,minervini_volume_dryup,8479,27,0.449586,0.452058,4419,1662,0,217,1570
main,27,minervini_volume_dryup,8466,40,0.143153,0.433735,1160,1977,0,207,1846
main,28,minervini_volume_dryup,8467,39,0.139953,0.434865,1442,1873,0,225,1757
main,29,minervini_volume_dryup,8472,34,0.070178,0.429178,402,1964,0,222,1852
main,30,minervini_volume_dryup,8469,37,-0.114568,0.420711,-1304,1650,0,217,1567
main,31,minervini_volume_dryup,8479,27,0.435698,0.446751,3999,1903,0,216,1789
main,32,minervini_volume_dryup,8471,35,0.009263,0.43041,-179,1906,0,223,1806
main,33,minervini_volume_dryup,8474,32,-0.01874,0.424121,-358,1773,0,217,1676
main,34,minervini_volume_dryup,8475,31,-0.283109,0.416755,-2821,1900,0,208,1793
main,35,minervini_volume_dryup,8468,38,0.089994,0.432333,837,1942,0,212,1812
main,36,minervini_volume_dryup,8480,26,-0.167584,0.420991,-1608,2091,0,219,1971
main,37,minervini_volume_dryup,8464,42,0.14756,0.431947,1653,1934,0,229,1819
main,38,minervini_volume_dryup,8476,30,0.404509,0.443723,3394,1867,0,212,1765
main,39,minervini_volume_dryup,8474,32,0.217883,0.44017,2220,1662,0,215,1592
main,40,minervini_volume_dryup,8490,16,-0.123939,0.414134,-1331,2035,0,209,1912
main,41,minervini_volume_dryup,8474,32,-0.020818,0.422351,-196,1977,0,220,1852
main,42,minervini_volume_dryup,8465,41,-0.002612,0.427998,-22,1869,0,224,1762
main,43,minervini_volume_dryup,8477,29,0.415584,0.439542,3945,1936,0,216,1819
main,44,minervini_volume_dryup,8474,32,-0.049052,0.425655,-762,1928,0,223,1809
main,45,minervini_volume_dryup,8477,29,0.280732,0.438481,2534,1773,0,214,1665
main,46,minervini_volume_dryup,8457,49,-0.014896,0.434078,-324,1841,0,231,1751
main,47,minervini_volume_dryup,8468,38,0.460187,0.451819,4362,1890,0,224,1796
main,48,minervini_volume_dryup,8477,29,0.156477,0.429397,1714,1579,0,240,1505
main,49,minervini_volume_dryup,8471,35,-0.032536,0.422382,-643,1980,0,212,1869
main,50,minervini_volume_dryup,8474,32,0.220531,0.428487,1968,1809,0,238,1704
main,51,minervini_volume_dryup,8484,22,-0.208696,0.424328,-1981,1829,0,229,1729
main,52,minervini_volume_dryup,8481,25,0.035647,0.427544,-63,1892,0,222,1786
main,53,minervini_volume_dryup,8457,49,0.40481,0.44342,3612,1731,0,231,1665
main,54,minervini_volume_dryup,8477,29,-0.034162,0.423145,-231,1908,0,212,1801
main,55,minervini_volume_dryup,8472,34,0.356244,0.441454,3292,1724,0,221,1626
main,56,minervini_volume_dryup,8464,42,-0.300417,0.412807,-2906,2039,0,226,1919
main,57,minervini_volume_dryup,8469,37,-0.038497,0.42626,-770,1934,0,213,1825
main,58,minervini_volume_dryup,8480,26,0.298887,0.446108,3186,1847,0,212,1744
main,59,minervini_volume_dryup,8476,30,0.271747,0.435819,2321,2038,0,220,1915
main,60,minervini_volume_dryup,8469,37,0.110429,0.428032,603,1948,0,222,1805
main,61,minervini_volume_dryup,8470,36,0.361046,0.439079,3472,1859,0,228,1760
main,62,minervini_volume_dryup,8470,36,0.258965,0.445809,2304,1999,0,225,1903
main,63,minervini_volume_dryup,8486,20,0.277878,0.438723,2628,1885,0,214,1767
main,64,minervini_volume_dryup,8468,38,-0.018528,0.422178,-85,1850,0,231,1731
main,65,minervini_volume_dryup,8468,38,-0.071437,0.423831,-904,1816,0,232,1733
main,66,minervini_volume_dryup,8481,25,-0.19803,0.41422,-2080,1855,0,220,1758
main,67,minervini_volume_dryup,8476,30,-0.058816,0.418358,-809,2049,0,219,1894
main,68,minervini_volume_dryup,8455,51,0.040284,0.431697,43,1892,0,226,1777
main,69,minervini_volume_dryup,8465,41,0.102501,0.439929,876,1755,0,234,1651
main,70,minervini_volume_dryup,8482,24,0.028788,0.432209,357,1833,0,214,1741
main,71,minervini_volume_dryup,8472,34,0.086761,0.430713,524,1877,0,218,1765
main,72,minervini_volume_dryup,8458,48,0.009321,0.428115,82,1874,0,213,1780
main,73,minervini_volume_dryup,8476,30,0.319032,0.445257,3245,1828,0,198,1712
main,74,minervini_volume_dryup,8458,48,-0.008868,0.427997,-424,1926,0,226,1804
main,75,minervini_volume_dryup,8462,44,0.51351,0.445167,4577,1833,0,216,1727
main,76,minervini_volume_dryup,8478,28,-0.097977,0.42451,-1055,1922,0,221,1820
main,77,minervini_volume_dryup,8465,41,0.278138,0.438984,2630,2082,0,218,1983
main,78,minervini_volume_dryup,8472,34,0.256901,0.442398,2551,2043,0,200,1915
main,79,minervini_volume_dryup,8480,26,-0.043352,0.426533,-503,1814,0,213,1700
main,80,minervini_volume_dryup,8478,28,0.023745,0.429111,111,1705,0,237,1621
main,81,minervini_volume_dryup,8478,28,0.084603,0.432531,574,1952,0,214,1819
main,82,minervini_volume_dryup,8487,19,0.120146,0.438317,891,2118,0,216,1990
main,83,minervini_volume_dryup,8470,36,0.314315,0.435537,3061,1774,0,222,1685
main,84,minervini_volume_dryup,8473,33,0.124561,0.43137,906,1786,0,211,1674
main,85,minervini_volume_dryup,8465,41,0.406558,0.43922,3237,1664,0,217,1587
main,86,minervini_volume_dryup,8468,38,0.163969,0.438238,1343,1849,0,221,1749
main,87,minervini_volume_dryup,8483,23,0.436394,0.447247,3930,1975,0,219,1858
main,88,minervini_volume_dryup,8467,39,0.535709,0.456951,4933,1758,0,214,1653
main,89,minervini_volume_dryup,8458,48,0.124855,0.433436,1101,1772,0,214,1667
