post_log_no,post_date,prog_ver,item_no,stock_name,leg_idx,ret_pct,is_loss,leg_open_ended
224364189017,2026-07-31,1.0.30,21,모나미,1,20.66,0,0
224364189017,2026-07-31,1.0.30,21,모나미,2,17.84,0,0
224364189017,2026-07-31,1.0.30,21,모나미,3,10.82,0,0
224364189017,2026-07-31,1.0.30,21,모나미,4,-13.28,1,0
224364189017,2026-07-31,1.0.30,21,모나미,5,-13.94,1,1
224364189017,2026-07-31,1.0.30,22,한성기업,1,-19.93,1,0
224364189017,2026-07-31,1.0.30,22,한성기업,2,-20.90,1,0
224364189017,2026-07-31,1.0.30,22,한성기업,3,-24.64,1,0
224364189017,2026-07-31,1.0.30,23,지엔씨에너지,1,-0.26,1,0
224364189017,2026-07-31,1.0.30,23,지엔씨에너지,2,-0.27,1,0
224364189017,2026-07-31,1.0.30,23,지엔씨에너지,3,-17.92,1,0
224364189017,2026-07-31,1.0.30,23,지엔씨에너지,4,-19.17,1,0
224371400049,2026-08-07,1.0.32,1,씨피시스템,1,22.21,0,0
224371400049,2026-08-07,1.0.32,1,씨피시스템,2,15.92,0,0
224371400049,2026-08-07,1.0.32,1,씨피시스템,3,9.65,0,0
224371400049,2026-08-07,1.0.32,2,케이엔알시스템,1,8.84,0,0
224371400049,2026-08-07,1.0.32,2,케이엔알시스템,2,8.76,0,0
224371400049,2026-08-07,1.0.32,2,케이엔알시스템,3,8.70,0,0
224371400049,2026-08-07,1.0.32,2,케이엔알시스템,4,2.85,0,0
224371400049,2026-08-07,1.0.32,3,모나미,1,-0.25,1,0
224371400049,2026-08-07,1.0.32,3,모나미,2,-0.28,1,0
224371400049,2026-08-07,1.0.32,3,모나미,3,-13.79,1,0
224371400049,2026-08-07,1.0.32,3,모나미,4,-13.28,1,0
224371400049,2026-08-07,1.0.32,3,모나미,5,-19.42,1,0
224378680510,2026-08-14,1.0.33,1,케이엔알시스템,1,26.71,0,0
224378680510,2026-08-14,1.0.33,1,케이엔알시스템,2,24.03,0,0
224378680510,2026-08-14,1.0.33,1,케이엔알시스템,3,24.00,0,0
224378680510,2026-08-14,1.0.33,1,케이엔알시스템,4,21.74,0,0
224378680510,2026-08-14,1.0.33,2,에스피지,1,21.44,0,0
224378680510,2026-08-14,1.0.33,2,에스피지,2,18.51,0,0
224378680510,2026-08-14,1.0.33,2,에스피지,3,12.03,0,0
224378680510,2026-08-14,1.0.33,3,솔트룩스,1,16.20,0,0
224378680510,2026-08-14,1.0.33,3,솔트룩스,2,16.10,0,0
224378680510,2026-08-14,1.0.33,3,솔트룩스,3,10.63,0,0
224378680510,2026-08-14,1.0.33,3,솔트룩스,4,0.68,0,0
224378680510,2026-08-14,1.0.33,4,마키나락스,1,16.58,0,0
224378680510,2026-08-14,1.0.33,4,마키나락스,2,11.99,0,0
224378680510,2026-08-14,1.0.33,4,마키나락스,3,10.55,0,0
224378680510,2026-08-14,1.0.33,5,매드업,1,8.77,0,0
224378680510,2026-08-14,1.0.33,5,매드업,2,0.40,0,0
224378680510,2026-08-14,1.0.33,6,빛과전자,1,8.66,0,0
224378680510,2026-08-14,1.0.33,6,빛과전자,2,0.34,0,0
224378680510,2026-08-14,1.0.33,7,씨피시스템,1,9.29,0,0
224378680510,2026-08-14,1.0.33,7,씨피시스템,2,3.26,0,0
224378680510,2026-08-14,1.0.33,7,씨피시스템,3,3.24,0,0
224378680510,2026-08-14,1.0.33,7,씨피시스템,4,0.43,0,0
224378680510,2026-08-14,1.0.33,7,씨피시스템,5,0.42,0,0
