arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
A_sim,AS-0030,main,book_envelope_200d,020120,2026-09-15,D_open,8990,163,actual,1465370,replay,N,,,,2526,N,1,,open,open,,2026-09-18,8420,-6.34,3,-92910,mark_to_market(마지막 종가)
A_sim,AS-0031,main,book_pullback_ma20,010170,2026-09-15,D_open,14410,115,actual,1657150,replay,N,,,,2539,N,1,,closed,tp,after0902,2026-09-16,15851,+10.00,1,165715,
A_sim,AS-0032,main,book_pullback_ma5,036540,2026-09-15,D_open,7460,204,actual,1521840,replay,N,,,,2527,N,1,,closed,tp,entry_day,2026-09-15,8579,+15.00,0,228276,
A_sim,AS-0033,main,book_pullback_ma5,452260,2026-09-15,D_open,2635,554,actual,1459790,replay,N,,,,2541,N,1,,closed,sl,entry_day,2026-09-15,2555.95,-3.00,0,-43794,
A_sim,AS-0034,main,book_pullback_ma5,950250,2026-09-15,D_open,3585,421,actual,1509285,replay,N,,,,2533,N,1,,closed,sl,entry_day,2026-09-15,3477.45,-3.00,0,-45279,
A_sim,AS-0035,main,daytrading_3methods_breakout,005160,2026-09-15,D_open,3095,667,actual,2064365,replay,N,,,,2546,N,1,,closed,tp,after0902,2026-09-16,3404.5,+10.00,1,206437,
A_sim,AS-0036,main,daytrading_3methods_breakout,411080,2026-09-15,band_touch,7107,285,actual,2025495,replay,N,,,,2549,N,1,,closed,tp,after0902,2026-09-16,7817.7,+10.00,1,202550,entry_day_touch_skipped(진입 시각 불명)
A_sim,AS-0037,main,elder_ema_pullback,051900,2026-09-15,band_touch,302500,1,actual,302500,replay,N,,,,2535,N,1,,open,open,,2026-09-18,295500,-2.31,3,-7000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0038,main,elder_ema_pullback,095340,2026-09-15,band_touch,186800,2,actual,373600,replay,N,,,,2544,N,1,,open,open,,2026-09-18,186300,-0.27,3,-1000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0039,main,elder_ema_pullback,192820,2026-09-15,band_touch,282500,1,actual,282500,replay,N,,,,2537,N,1,,open,open,,2026-09-18,273000,-3.36,3,-9500,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0040,main,rs_leader,001210,2026-09-15,band_touch,11093.1,59,actual,654493,replay,N,,,,2528,N,1,,closed,ma_break,after0902,2026-09-18,10730,-3.27,3,-21423,entry_day_touch_skipped(진입 시각 불명)
A_sim,AS-0041,main,rs_leader,184230,2026-09-15,band_touch,2374.15,284,actual,674259,replay,N,,,,2534,N,1,,closed,sl,after0902,2026-09-16,2184.22,-8.00,1,-53941,entry_day_touch_skipped(진입 시각 불명)
A_sim,AS-0042,main,book_envelope_200d,031980,2026-09-16,D_open,158900,9,actual,1430100,replay,N,,,,2550,N,1,,closed,sl,entry_day,2026-09-16,146188,-8.00,0,-114408,
A_sim,AS-0043,main,book_pullback_ma20,317400,2026-09-16,D_open,11130,160,actual,1780800,replay,N,,,,2570,N,1,,closed,sl,entry_day,2026-09-16,10239.6,-8.00,0,-142464,
A_sim,AS-0044,main,book_pullback_ma20,413630,2026-09-16,D_open,4480,365,actual,1635200,replay,N,,,,2568,N,1,,closed,tp,entry_day,2026-09-16,4928,+10.00,0,163520,
A_sim,AS-0045,main,book_pullback_ma5,003350,2026-09-16,D_open,14680,104,actual,1526720,replay,N,,,,2557,N,1,,closed,trail_ma,after0902,2026-09-18,14870,+1.29,2,19760,
A_sim,AS-0046,main,book_pullback_ma5,004310,2026-09-16,D_open,10190,153,actual,1559070,replay,N,,,,2551,N,1,,closed,sl,entry_day,2026-09-16,9884.3,-3.00,0,-46772,
A_sim,AS-0047,main,book_pullback_ma5,053300,2026-09-16,D_open,5500,288,actual,1584000,replay,N,,,,2562,N,1,,closed,sl,entry_day,2026-09-16,5335,-3.00,0,-47520,
