date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-15,daytrading_3methods_breakout,,080160,6,no_slot,no_slot,N,Y,breakout_prev_high close=9870.00 prior20_high=9660.00 vol=10,NA,NA,NA,,,,na,na,na,N,N,,,,9870,replay,25.5535,2,+1177.67,N
2026-09-15,daytrading_3methods_breakout,,003200,7,no_slot,no_slot,N,Y,breakout_prev_high close=12250.00 prior20_high=11110.00 vol=,NA,NA,NA,,,,na,na,na,N,N,,,,12250,replay,29.3132,2,+1365.66,N
2026-09-15,daytrading_3methods_breakout,,263860,8,no_slot,no_slot,N,Y,breakout_prev_high close=19400.00 prior20_high=18670.00 vol=,NA,NA,NA,,,,na,na,na,N,N,,,,19400,replay,22.5615,2,+1028.08,N
2026-09-15,daytrading_3methods_breakout,,184230,9,no_slot,no_slot,N,Y,breakout_prev_high close=2305.00 prior20_high=2170.00 vol=15,NA,NA,NA,,,,na,na,na,N,N,,,,2305,replay,22.3038,2,+1015.19,N
2026-09-15,daytrading_3methods_breakout,,072950,10,no_slot,no_slot,N,Y,breakout_prev_high close=11240.00 prior20_high=9810.00 vol=6,NA,NA,NA,,,,na,na,na,N,N,,,,11240,replay,21.0344,2,+951.72,N
2026-09-15,minervini_volume_dryup,,002990,1,no_slot,no_slot,N,Y,volume_dryup recent/base=0.52 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,13600,replay,0.52,0.7,-25.71,N
2026-09-15,minervini_volume_dryup,,073240,2,held,held,N,Y,volume_dryup recent/base=0.33 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,7110,replay,0.33,0.7,-52.86,N
2026-09-15,minervini_volume_dryup,,006360,3,held,held,N,Y,volume_dryup recent/base=0.57 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,36650,replay,0.57,0.7,-18.57,N
2026-09-15,minervini_volume_dryup,,119850,4,no_slot,no_slot,N,Y,volume_dryup recent/base=0.66 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,49750,replay,0.66,0.7,-5.71,N
2026-09-15,minervini_volume_dryup,,090430,5,no_slot,no_slot,N,Y,volume_dryup recent/base=0.64 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,146000,replay,0.64,0.7,-8.57,N
