arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
B1,B1-0056,main,book_pullback_ma20,357880,2026-09-22,band_touch,1900.82,526,amount,999831,log,N,,throttle,,,N,1,,open,open,,2026-09-23,1937,+1.90,1,19031,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0057,main,book_pullback_ma20,382800,2026-09-22,band_touch,5403.5,185,amount,999648,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,5250,-2.84,1,-28398,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0058,main,book_pullback_ma5,017900,2026-09-22,band_touch,10728.2,93,amount,997723,log,N,,,,,Y,2,1,closed,sl,after0902,2026-09-23,10230,-4.64,1,-46333,entry_day_touch_skipped(진입 시각 불명) · sl_gap_open(라이브는 09:05 이후 가격)
B1,B1-0059,main,book_pullback_ma5,030530,2026-09-22,D_open,27100,36,amount,975600,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,28300,+4.43,1,43200,mark_to_market(마지막 종가)
B1,B1-0060,main,book_pullback_ma5,036540,2026-09-22,band_touch,10655.5,93,amount,990962,log,N,,,,,N,1,,closed,sl,after0902,2026-09-23,10335.83,-3.00,1,-29729,entry_day_touch_skipped(진입 시각 불명)
B1,B1-0061,main,book_pullback_ma5,125490,2026-09-22,D_open,12530,79,amount,989870,log,N,,throttle_delay,,,N,1,,closed,sl,after0902,2026-09-23,12154.1,-3.00,1,-29696,
B1,B1-0062,main,book_pullback_ma5,142280,2026-09-22,D_open,3295,303,amount,998385,log,N,,throttle,,,N,1,,closed,sl,entry_day,2026-09-22,3196.15,-3.00,0,-29952,
B1,B1-0063,main,book_pullback_ma5,192650,2026-09-22,D_open,8200,121,amount,992200,log,N,,throttle,,,N,1,,open,open,,2026-09-23,8450,+3.05,1,30250,mark_to_market(마지막 종가)
B1,B1-0064,main,book_pullback_ma5,332570,2026-09-22,band_touch,9393,106,amount,995658,log,N,,throttle_delay,,,N,1,,closed,sl,after0902,2026-09-23,8870,-5.57,1,-55438,entry_day_touch_skipped(진입 시각 불명) · sl_gap_open(라이브는 09:05 이후 가격)
B1,B1-0065,main,book_pullback_ma5,356680,2026-09-22,D_open,17910,55,amount,985050,log,N,,throttle,,,N,1,,closed,sl,entry_day,2026-09-22,17372.7,-3.00,0,-29551,
B1,B1-0066,main,book_pullback_ma5,417200,2026-09-22,band_touch,13887.5,72,amount,999900,log,N,,throttle,,,N,1,,closed,sl,after0902,2026-09-23,13470.88,-3.00,1,-29997,entry_day_touch_skipped(진입 시각 불명)
B1,B1-0067,main,book_pullback_ma5,452260,2026-09-22,D_open,2715,368,amount,999120,log,N,,throttle,,,N,1,,open,open,,2026-09-23,2765,+1.84,1,18400,mark_to_market(마지막 종가)
B1,B1-0068,main,daytrading_3methods_breakout,086960,2026-09-22,D_open,2155,464,amount,999920,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,2045,-5.10,1,-51040,mark_to_market(마지막 종가)
B1,B1-0069,main,daytrading_3methods_breakout,097800,2026-09-22,D_open,2530,395,amount,999350,log,N,,throttle,,,N,1,,open,open,,2026-09-23,2430,-3.95,1,-39500,mark_to_market(마지막 종가)
B1,B1-0070,main,daytrading_3methods_breakout,099750,2026-09-22,D_open,7670,130,amount,997100,log,N,,,,,N,1,,open,open,,2026-09-23,7230,-5.74,1,-57200,mark_to_market(마지막 종가)
B1,B1-0071,main,daytrading_3methods_breakout,205100,2026-09-22,D_open,1441,693,amount,998613,log,N,,throttle,,,N,1,,open,open,,2026-09-23,1378,-4.37,1,-43659,mark_to_market(마지막 종가)
B1,B1-0072,main,daytrading_3methods_breakout,223250,2026-09-22,D_open,3630,275,amount,998250,log,N,,throttle_delay,,,N,1,,closed,sl,after0902,2026-09-23,3267,-10.00,1,-99825,
B1,B1-0073,main,daytrading_3methods_breakout,226590,2026-09-22,D_open,14480,69,amount,999120,log,N,,throttle,,,N,1,,open,open,,2026-09-23,14740,+1.80,1,17940,mark_to_market(마지막 종가)
B1,B1-0074,main,daytrading_3methods_breakout,254490,2026-09-22,band_touch,16716.9,59,amount,986297,log,N,,throttle,,,N,1,,open,open,,2026-09-23,16810,+0.56,1,5493,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0075,main,daytrading_3methods_breakout,402490,2026-09-22,D_open,7610,131,amount,996910,log,N,,throttle,,,N,1,,open,open,,2026-09-23,7140,-6.18,1,-61570,mark_to_market(마지막 종가)
B1,B1-0076,main,daytrading_3methods_breakout,425040,2026-09-22,D_open,12970,77,amount,998690,log,N,,throttle,,,N,1,,open,open,,2026-09-23,12890,-0.62,1,-6160,mark_to_market(마지막 종가)
B1,B1-0077,main,deep_mr_dev20,475830,2026-09-22,D_open,27100,36,amount,975600,log,N,,,,,N,1,,closed,sl,entry_day,2026-09-22,25203,-7.00,0,-68292,
B1,B1-0078,main,elder_ema_pullback,039030,2026-09-22,D_open,491000,2,amount,982000,log,N,,,,,Y,2,1,open,open,,2026-09-23,481500,-1.93,1,-19000,mark_to_market(마지막 종가)
B1,B1-0079,main,elder_ema_pullback,051900,2026-09-22,band_touch,301500,3,amount,904500,replay,N,,,,,N,1,,open,open,,2026-09-23,292500,-2.99,1,-27000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0080,main,elder_ema_pullback,064760,2026-09-22,D_open,272500,3,amount,817500,replay,N,,,,,N,1,,open,open,,2026-09-23,286000,+4.95,1,40500,mark_to_market(마지막 종가)
B1,B1-0081,main,elder_ema_pullback,108490,2026-09-22,band_touch,311500,3,amount,934500,log,N,,,,,N,1,,open,open,,2026-09-23,301000,-3.37,1,-31500,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0082,main,elder_ema_pullback,131290,2026-09-22,D_open,275000,3,amount,825000,log,N,,,,,N,1,,open,open,,2026-09-23,289000,+5.09,1,42000,mark_to_market(마지막 종가)
B1,B1-0083,main,elder_ema_pullback,443060,2026-09-22,band_touch,242000,4,amount,968000,replay,N,,,,,N,1,,open,open,,2026-09-23,239000,-1.24,1,-12000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0084,main,minervini_volume_dryup,005090,2026-09-22,D_open,54700,18,amount,984600,log,N,,,,,N,1,,closed,sl,after0902,2026-09-23,50324,-8.00,1,-78768,
B1,B1-0085,main,minervini_volume_dryup,006340,2026-09-22,D_open,13870,72,amount,998640,log,N,,,book_pullback_ma20(09-21),,Y,2,1,open,open,,2026-09-23,13490,-2.74,1,-27360,mark_to_market(마지막 종가)
B1,B1-0086,main,minervini_volume_dryup,006360,2026-09-22,D_open,37450,26,amount,973700,replay,N,,,,,Y,2,1,closed,sl,after0902,2026-09-23,34454,-8.00,1,-77896,
B1,B1-0087,main,minervini_volume_dryup,007340,2026-09-22,D_open,49850,20,amount,997000,log,N,,,,,Y,2,1,open,open,,2026-09-23,47900,-3.91,1,-39000,mark_to_market(마지막 종가)
B1,B1-0088,main,minervini_volume_dryup,028670,2026-09-22,D_open,5870,170,amount,997900,log,N,,,,,N,1,,open,open,,2026-09-23,5600,-4.60,1,-45900,mark_to_market(마지막 종가)
