date,strategy,code,tier,price,basis,qty,qty_basis,signal_basis,crash_blocked,other_holder_live,entry_time,lift_time,touch_open,touch_high,touch_low,touch_close,d5
2026-09-22,rs_leader,417840,ext,15398.5,band_touch,64,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,098120,ext,58500.0,D_open,17,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,252990,ext,18300.0,D_open,54,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,010170,ext,18230.0,D_open,54,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,003010,ext,10270.0,D_open,97,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,072950,ext,13900.0,D_open,71,amount,replay,N,,,,,,,,
2026-09-22,deep_mr_dev20,475830,main,27100.0,D_open,36,amount,log,N,,,,,,,,
2026-09-23,elder_ema_pullback,128940,main,509000.0,band_touch,1,amount,log,N,,,,,,,,
2026-09-23,elder_ema_pullback,357780,main,348000.0,band_touch,2,amount,log,N,,,,,,,,
2026-09-23,elder_ema_pullback,443060,main,247000.0,D_open,4,amount,replay,N,,,,,,,,
2026-09-23,elder_ema_pullback,003670,main,187900.0,band_touch,5,amount,replay,N,,,,,,,,
2026-09-23,elder_ema_pullback,010950,main,157000.0,band_touch,6,amount,log,N,,,,,,,,
2026-09-23,elder_ema_pullback,096770,ext,143000.0,D_open,6,amount,replay,N,,,,,,,,
2026-09-23,elder_ema_pullback,086790,ext,136600.0,band_touch,7,amount,replay,N,,,,,,,,
2026-09-23,elder_ema_pullback,058610,ext,102918.0,band_touch,9,amount,replay,N,,,,,,,,
2026-09-23,daytrading_3methods_breakout,303810,main,3126.05,band_touch,319,amount,log,N,,,,,,,,
2026-09-23,daytrading_3methods_breakout,393210,main,3310.0,D_open,302,amount,log,N,,,,,,,,
2026-09-23,daytrading_3methods_breakout,299170,main,1588.0,D_open,629,amount,log,N,,,,,,,,
2026-09-23,daytrading_3methods_breakout,051370,main,7150.0,D_open,139,amount,log,N,,,,,,,,
