date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-21,book_pullback_ma5,115440,signal,Y,1,09:04:24,09:04:24,log
2026-09-21,book_pullback_ma5,115440,fill,Y,1,09:04:24,09:04:24,vtr
2026-09-21,book_pullback_ma5,332570,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,332570,signal,N,,,,log
2026-09-21,book_pullback_ma5,024840,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,024840,signal,N,,,,log
2026-09-21,book_pullback_ma5,289080,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,289080,signal,N,,,,log
2026-09-21,book_pullback_ma5,030530,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,030530,signal,N,,,,log
2026-09-21,book_pullback_ma5,006340,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,006340,signal,N,,,,log
2026-09-21,rs_leader,032580,candidate,Y,1,,,e6
2026-09-21,rs_leader,032580,signal,Y,1,09:11:33,09:11:33,log
2026-09-21,rs_leader,032580,fill,Y,1,09:11:33,09:11:33,vtr
2026-09-21,rs_leader,017900,candidate,Y,1,,,e6
2026-09-21,rs_leader,017900,signal,replay:Y,,,,replay
2026-09-21,rs_leader,017900,held,Y,,,,timeline
2026-09-21,rs_leader,000500,candidate,Y,1,,,e6
2026-09-21,rs_leader,000500,signal,Y,1,09:17:45,09:17:45,log
2026-09-21,rs_leader,000500,fill,Y,1,09:17:45,09:17:45,vtr
2026-09-21,rs_leader,024840,candidate,Y,1,,,e6
2026-09-21,rs_leader,024840,signal,replay:Y,,,,replay
2026-09-21,rs_leader,024840,held,Y,,,,timeline
2026-09-21,rs_leader,036930,candidate,Y,1,,,e6
2026-09-21,rs_leader,036930,signal,replay:Y,,,,replay
2026-09-21,rs_leader,036930,cap,no_slot,,,,timeline
2026-09-21,rs_leader,00088K,candidate,Y,1,,,e6
2026-09-21,rs_leader,00088K,signal,replay:Y,,,,replay
2026-09-21,rs_leader,00088K,held,Y,,,,timeline
2026-09-21,rs_leader,092190,candidate,Y,1,,,e6
2026-09-21,rs_leader,092190,signal,replay:Y,,,,replay
2026-09-21,rs_leader,092190,held,Y,,,,timeline
2026-09-21,rs_leader,020120,candidate,Y,1,,,e6
2026-09-21,rs_leader,020120,signal,replay:Y,,,,replay
2026-09-21,rs_leader,020120,cap,no_slot,,,,timeline
2026-09-21,rs_leader,064290,candidate,Y,1,,,e6
2026-09-21,rs_leader,064290,signal,replay:Y,,,,replay
2026-09-21,rs_leader,064290,held,Y,,,,timeline
2026-09-21,rs_leader,006340,candidate,Y,1,,,e6
2026-09-21,rs_leader,006340,signal,replay:Y,,,,replay
2026-09-21,rs_leader,006340,cap,no_slot,,,,timeline
