date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-22,daytrading_3methods_breakout,,205100,9,slot_available,slot_available,Y,Y,breakout_prev_high close=1420.00 prior20_high=1409.00 vol=35,Y,Y,Y,2,09:02:38,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,1420,1420,log,8.0778,2,+303.89,
2026-09-22,daytrading_3methods_breakout,,226590,10,slot_available,slot_available,Y,Y,breakout_prev_high close=14700.00 prior20_high=14090.00 vol=,Y,Y,Y,2,09:02:38,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,14700,14700,log,7.8323,2,+291.61,
2026-09-22,minervini_volume_dryup,,088350,1,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.65 ≤ 0.70,Y,Y,Y,62,09:03:27,15:29:29,agree_Y,agree_Y,agree_Y,N,N,Y,Y,5780,5780,log,0.65,0.7,-7.14,
2026-09-22,minervini_volume_dryup,,006340,2,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.31 ≤ 0.70,Y,Y,Y,62,09:03:27,15:29:29,agree_Y,agree_Y,agree_Y,N,N,Y,Y,13540,13540,log,0.31,0.7,-55.71,
2026-09-22,minervini_volume_dryup,,028670,3,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.63 ≤ 0.70,Y,Y,Y,62,09:03:27,15:29:29,agree_Y,agree_Y,agree_Y,N,N,Y,Y,5790,5790,log,0.63,0.7,-10.00,
2026-09-22,minervini_volume_dryup,,006360,4,held,held,N,Y,volume_dryup recent/base=0.64 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,36600,replay,0.64,0.7,-8.57,N
2026-09-22,minervini_volume_dryup,,144960,5,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.69 ≤ 0.70,Y,Y,Y,62,09:03:28,15:29:29,agree_Y,agree_Y,agree_Y,N,N,N,Y,12000,12000,log,0.69,0.7,-1.43,
2026-09-22,minervini_volume_dryup,,161890,6,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.69 ≤ 0.70,Y,Y,Y,62,09:03:28,15:29:29,agree_Y,agree_Y,agree_Y,N,N,Y,Y,145500,145500,log,0.69,0.7,-1.43,
2026-09-22,minervini_volume_dryup,,090430,7,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.62 ≤ 0.70,Y,Y,Y,62,09:03:28,15:29:30,agree_Y,agree_Y,agree_Y,N,N,Y,Y,145000,145000,log,0.62,0.7,-11.43,
2026-09-22,minervini_volume_dryup,,007340,8,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.44 ≤ 0.70,Y,Y,Y,62,09:03:29,15:29:30,agree_Y,agree_Y,agree_Y,N,N,Y,Y,49200,49200,log,0.44,0.7,-37.14,
2026-09-22,minervini_volume_dryup,,241710,9,held,held,N,Y,volume_dryup recent/base=0.68 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,129900,replay,0.68,0.7,-2.86,N
2026-09-22,minervini_volume_dryup,,005090,10,slot_available,slot_available,Y,Y,volume_dryup recent/base=0.65 ≤ 0.70,Y,Y,Y,62,09:03:29,15:29:30,agree_Y,agree_Y,agree_Y,N,N,Y,Y,53600,53600,log,0.65,0.7,-7.14,
2026-09-22,book_pullback_ma20,,232140,1,bought,bought,Y,Y,daily_ma20_pull ma20=11863.00 low=11960.00 close=14250.00,Y,Y,Y,1,09:04:15,09:04:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,14250,14250,log,,,,
2026-09-22,book_pullback_ma20,,080220,2,slot_available,slot_available,Y,Y,daily_ma20_pull ma20=74195.00 low=73200.00 close=75200.00,Y,Y,Y,3,09:04:16,09:17:53,agree_Y,agree_Y,agree_Y,N,N,Y,Y,75200,75200,log,,,,
2026-09-22,book_pullback_ma20,,036090,3,slot_available,slot_available,Y,Y,daily_ma20_pull ma20=1344.50 low=1366.00 close=1436.00,Y,Y,Y,3,09:04:16,09:17:53,agree_Y,agree_Y,agree_Y,N,N,Y,Y,1436,1436,log,,,,
2026-09-22,book_pullback_ma20,,417840,4,slot_available,slot_available,Y,Y,daily_ma20_pull ma20=14189.00 low=14330.00 close=14950.00,Y,Y,Y,3,09:04:17,09:17:53,agree_Y,agree_Y,agree_Y,N,N,Y,Y,14950,14950,log,,,,
2026-09-22,book_pullback_ma20,,071090,5,bought,bought,Y,Y,daily_ma20_pull ma20=3160.75 low=3160.00 close=3270.00,Y,Y,Y,2,09:04:17,09:11:35,agree_Y,agree_Y,agree_Y,N,N,Y,Y,3270,3270,log,,,,
2026-09-22,book_pullback_ma20,,033160,6,slot_available,slot_available,Y,Y,daily_ma20_pull ma20=13829.00 low=13660.00 close=14730.00,Y,Y,Y,3,09:04:17,09:17:54,agree_Y,agree_Y,agree_Y,N,N,Y,Y,14730,14730,log,,,,
2026-09-22,book_pullback_ma20,,382800,7,bought,bought,Y,Y,daily_ma20_pull ma20=5085.00 low=4995.00 close=5350.00,Y,Y,Y,3,09:04:18,09:17:54,agree_Y,agree_Y,agree_Y,N,N,Y,Y,5350,5350,log,,,,
