arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
A_sim,AS-0027,main,book_pullback_ma20,025980,2026-09-23,D_open,5400,168,actual,907200,replay,N,,,,2665,N,1,,open,open,,2026-09-23,5220,-3.33,0,-30240,mark_to_market(마지막 종가)
A_sim,AS-0028,main,book_pullback_ma20,187660,2026-09-23,D_open,6600,113,actual,745800,replay,N,,,,2669,N,1,,open,open,,2026-09-23,6630,+0.45,0,3390,mark_to_market(마지막 종가)
A_sim,AS-0029,main,book_pullback_ma5,217590,2026-09-23,D_open,14650,110,actual,1611500,replay,N,,,,2670,N,1,,closed,sl,entry_day,2026-09-23,14210.5,-3.00,0,-48345,
A_sim,AS-0030,main,book_pullback_ma5,321370,2026-09-23,D_open,1727,945,actual,1632015,replay,N,,,,2660,N,1,,closed,tp,entry_day,2026-09-23,1986.05,+15.00,0,244802,
A_sim,AS-0031,main,book_pullback_ma5,457370,2026-09-23,band_touch,11514,142,actual,1634988,replay,N,,,,2666,N,1,,open,open,,2026-09-23,11290,-1.95,0,-31808,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0032,main,daytrading_3methods_breakout,051370,2026-09-23,D_open,7150,96,actual,686400,replay,N,,,,2681,N,1,,open,open,,2026-09-23,7000,-2.10,0,-14400,mark_to_market(마지막 종가)
A_sim,AS-0033,main,daytrading_3methods_breakout,299170,2026-09-23,D_open,1588,521,actual,827348,replay,N,,,,2679,N,1,,closed,sl,entry_day,2026-09-23,1429.2,-10.00,0,-82735,
A_sim,AS-0034,main,daytrading_3methods_breakout,303810,2026-09-23,band_touch,3126.05,241,actual,753378,replay,N,,,,2658,N,1,,open,open,,2026-09-23,2800,-10.43,0,-78578,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0035,main,deep_mr_dev20,298380,2026-09-23,D_open,49700,25,actual,1242500,replay,N,,,,2663,N,1,,open,open,,2026-09-23,50800,+2.21,0,27500,mark_to_market(마지막 종가)
A_sim,AS-0036,main,deep_mr_dev20,475830,2026-09-23,D_open,25550,49,actual,1251950,replay,N,,,,2674,N,1,,open,open,,2026-09-23,25000,-2.15,0,-26950,mark_to_market(마지막 종가)
A_sim,AS-0037,main,elder_ema_pullback,010950,2026-09-23,band_touch,157000,2,actual,314000,replay,N,,,,2668,N,1,,open,open,,2026-09-23,155600,-0.89,0,-2800,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0038,main,elder_ema_pullback,357780,2026-09-23,band_touch,348000,1,actual,348000,replay,N,,,,2675,N,1,,open,open,,2026-09-23,370000,+6.32,0,22000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0039,main,rs_leader,001820,2026-09-23,D_open,151200,4,actual,604800,replay,N,,,,2673,N,1,,open,open,,2026-09-23,146900,-2.84,0,-17200,mark_to_market(마지막 종가)
A_sim,AS-0040,main,rs_leader,024840,2026-09-23,band_touch,6622.9,101,actual,668913,replay,N,,,,2671,N,1,,open,open,,2026-09-23,6350,-4.12,0,-27563,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0041,main,rs_leader,032580,2026-09-23,D_open,6460,101,actual,652460,replay,N,,,,2662,N,1,,open,open,,2026-09-23,7020,+8.67,0,56560,mark_to_market(마지막 종가)
A_sim,AS-0042,main,rs_leader,064290,2026-09-23,D_open,56200,11,actual,618200,replay,N,,,,2667,N,1,,open,open,,2026-09-23,54800,-2.49,0,-15400,mark_to_market(마지막 종가)
